===============================================================================================
Cromosoma	Costo	Infact	Vis	Eval	Aptitud	C-Hijos
===============================================================================================
11011100	23	1	3	,475	,881	0
10011100	24	0	4	,602	1,116	1
10011100	24	0	4	,602	1,116	1
10010100	15	2	3	,352	,651	0
10011100	24	0	4	,602	1,116	1
10011110	20	1	3	,441	,818	0
10011100	24	0	4	,602	1,116	4
11011100	23	1	3	,475	,881	0
10011100	24	0	4	,602	1,116	1
10011100	24	0	4	,602	1,116	1
10011100	24	0	4	,602	1,116	1
10011100	24	0	4	,602	1,116	1
10011100	24	0	4	,602	1,116	1
10011100	24	0	4	,602	1,116	2
10011000	25	1	3	,498	,923	0
10011100	24	0	4	,602	1,116	1
10011100	24	0	4	,602	1,116	1
00011100	21	1	3	,452	,839	0
10011100	24	0	4	,602	1,116	1
10011100	24	0	4	,602	1,116	2
10011100	24	0	4	,602	1,116	1
10011100	24	0	4	,602	1,116	2
10011100	24	0	4	,602	1,116	1
10011110	20	1	3	,441	,818	0
10010100	15	2	3	,352	,651	0
10010100	15	2	3	,352	,651	0
10011100	24	0	4	,602	1,116	1
10011100	24	0	4	,602	1,116	3
10011101	25	1	3	,498	,923	0
10011100	24	0	4	,602	1,116	1
10011100	24	0	4	,602	1,116	2
10011101	25	1	3	,498	,923	0
10011100	24	0	4	,602	1,116	3
10010100	15	2	3	,352	,651	0
10011100	24	0	4	,602	1,116	1
10011100	24	0	4	,602	1,116	1
10010110	18	3	2	,270	,500	0
10011100	24	0	4	,602	1,116	2
10011100	24	0	4	,602	1,116	3
11011100	23	1	3	,475	,881	0


RUTA: [C2, C1, C3, C0]
